# IONIZATION
# Energy (Joules) | Cross Section (m2)
#-------------------------------------
7.1e-18 0.0
7.209794793600002319e-18 0.000000000000000000e+00
7.667760036663209999e-18 0.000000000000000000e+00
8.154815173386099863e-18 0.000000000000000000e+00
8.672807990092952938e-18 0.000000000000000000e+00
9.223703644259031010e-18 0.000000000000000000e+00
9.809592119911039014e-18 0.000000000000000000e+00
1.043269615659372800e-17 0.000000000000000000e+00
1.109537968198341490e-17 0.000000000000000000e+00
1.180015678014002760e-17 0.000000000000000000e+00
1.254970122942142478e-17 0.000000000000000000e+00
1.334685664624472138e-17 0.000000000000000000e+00
1.419464727317811582e-17 0.000000000000000000e+00
1.509628945229089429e-17 0.000000000000000000e+00
1.605520382728919568e-17 9.391554267358941158e-26
1.707502832072980429e-17 2.958275289847566256e-24
1.815963193554497941e-17 6.004578801773266660e-24
1.931312943323834679e-17 9.244383123114756146e-24
2.053989694443790672e-17 1.268997940053487335e-23
2.184458857102937979e-17 1.635443951276024572e-23
2.323215404285497001e-17 1.875055522086073507e-23
2.470785749596329940e-17 2.013214770631169828e-23
2.627729744365143603e-17 2.160149876971488706e-23
2.794642801606501948e-17 2.316418282471640644e-23
2.972158154893486890e-17 2.482612837100406632e-23
3.160949260714745405e-17 2.659364048580752960e-23
3.361732353428938684e-17 2.798228316270372688e-23
3.575269162509575309e-17 2.931507510529251397e-23
3.802369802388887445e-17 3.073252582159316152e-23
4.043895845864216259e-17 3.175998717391710569e-23
4.300763592726779800e-17 3.015674478772934062e-23
4.573947546013341458e-17 2.845166465024640058e-23
4.864484109068894593e-17 2.681913902026620833e-23
5.173475517446342271e-17 2.585485267266252553e-23
5.502094020559916781e-17 2.482931497960379121e-23
5.851586328956696559e-17 2.373863526346153863e-23
6.223278344078240759e-17 2.257867571126201140e-23
6.618580188456074838e-17 2.160702140600838513e-23
7.038991555424558516e-17 2.081982099094073258e-23
7.486107398646812064e-17 1.998261770620112520e-23
7.961623983038628861e-17 1.909223537590401934e-23
8.467345320046272782e-17 1.843019738258525962e-23
9.005190011692326930e-17 1.775880487234191715e-23
9.577198529354415433e-17 1.704476559572774265e-23
1.018554095489110359e-16 1.592805595339685520e-23
1.083252521348299455e-16 1.471660850710562584e-23
1.152060582942296434e-16 1.342821007398581697e-23
1.225239323807300480e-16 1.205797273719710799e-23
1.303066368931538395e-16 1.100000000000000118e-23
1.385836978006980497e-16 1.100000000000000118e-23
1.473865165583460565e-16 1.060171423737878642e-23
1.567484892374851594e-16 9.433057479116455419e-24
1.667051332236854538e-16 8.858279363784740799e-24
1.772942219623052792e-16 8.626957734795649973e-24
1.885559282631204674e-16 8.380942585522207498e-24
2.005329767076451143e-16 8.093486383354793313e-24
2.132708057373461586e-16 7.775473278823514134e-24
2.268177400376802551e-16 7.437260022570409019e-24
2.412251738719430145e-16 7.137124976001198637e-24
2.565477660604604450e-16 6.966665744889993957e-24
2.728436473448342608e-16 6.766910155228036881e-24
2.901746409239368603e-16 6.533576515693516962e-24
3.086064969983253263e-16 6.261793858547304022e-24
3.282091422128850698e-16 6.051723424317924039e-24
3.490569449440414653e-16 5.980651191280344017e-24
3.712289974379765040e-16 5.889284607899713447e-24
3.948094158702332455e-16 5.774266243243993485e-24
4.198876594650655636e-16 5.631754296601204429e-24
4.465588698852086185e-16 5.457356295258833450e-24
4.749242321796458162e-16 5.246053923026678852e-24
5.050913586587280450e-16 5.220294938119965937e-24
5.371746971529947332e-16 5.235955601447098918e-24
5.712959652045421379e-16 5.239170372984674401e-24
6.075846118381711038e-16 5.227386963882275585e-24
6.461783086641797127e-16 5.200810169436746169e-24
6.872234721759418749e-16 5.175211040488005618e-24
7.308758192237624659e-16 5.128133907881242481e-24
7.773009577723593099e-16 5.055612406753073059e-24
8.266750151831855963e-16 5.015620441990407804e-24
8.791853064051655391e-16 5.014522192127459192e-24
9.350310446088180168e-16 4.993156842153662497e-24
9.944240969597724196e-16 4.977234016176562622e-24
1.057589788398917782e-15 4.963445218894170192e-24
1.124767756478566474e-15 4.925272773893424026e-24
1.196212860497700869e-15 4.858086563384180698e-24
1.272196148385372661e-15 4.756558488894929495e-24
1.353005885000424231e-15 4.748694114930016498e-24
1.438948645748650387e-15 4.735666746394055263e-24
1.530350479666409873e-15 4.695936380499114125e-24
1.627558146383145623e-15 4.582795518393241797e-24
1.730940431655607035e-15 4.328726165039639688e-24
1.840889546464640083e-15 4.064457711302518129e-24
1.957822614982425217e-15 3.804553032021758590e-24
2.082183257055203982e-15 3.570202272773749624e-24
2.214443271205106468e-15 3.327576617417182596e-24
2.355104424536039684e-15 3.019245236870031654e-24
2.504700356334167898e-15 2.695581375991702666e-24
2.663798602584853302e-15 2.466172892090084536e-24
2.833002749086652882e-15 2.290587503871112627e-24
3.012954721330841990e-15 2.140292319934871322e-24
3.204337219833791373e-15 1.998011720016000349e-24
#-------------------------------------
